               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10287,            0.020048,            0.082269,                   0,                   0,                   0,                   0,            0.067901,            0.010489,            0.059712,              0.0721,              0.0031,              0.0031
                   1,            0.084296,            0.023149,            0.081812,                   0,                   0,                   0,                   0,            0.058512,            0.010858,            0.059561,            0.043279,           0.0062792,           0.0062792
                   2,            0.073413,            0.024095,            0.081347,          0.00034794,            0.025641,          0.00074682,          0.00019141,            0.054628,            0.010511,            0.062052,            0.014437,           0.0094373,           0.0094373
                   3,            0.064857,            0.026054,             0.08085,          0.00076257,             0.10063,          0.00062417,           0.0001985,            0.063179,           0.0075301,              0.1286,            0.009901,            0.009901,            0.009901
                   4,            0.060866,             0.02563,            0.080661,           0.0013947,             0.23724,           0.0019022,          0.00043146,            0.061952,           0.0062599,            0.080072,            0.009901,            0.009901,            0.009901
                   5,            0.058657,            0.025373,            0.078389,           0.0025442,             0.71473,            0.022694,           0.0043323,            0.040413,            0.010888,            0.056942,            0.009868,            0.009868,            0.009868
                   6,            0.056813,            0.024802,            0.079286,           0.0010094,             0.33613,           0.0026474,          0.00043992,            0.043609,            0.017499,            0.057722,            0.009835,            0.009835,            0.009835
                   7,            0.055031,            0.023709,             0.07929,           0.0029971,             0.83813,            0.028713,           0.0087027,             0.03692,            0.015537,            0.056718,            0.009802,            0.009802,            0.009802
                   8,            0.055142,            0.022815,            0.078859,           0.0030696,             0.83358,            0.036649,            0.013429,            0.037719,             0.01081,              0.0565,            0.009769,            0.009769,            0.009769
                   9,            0.053088,            0.022676,            0.078135,           0.0032184,             0.89617,            0.024647,           0.0098719,            0.036546,            0.017596,            0.055877,            0.009736,            0.009736,            0.009736
